1,ABBV,AbbVie Inc.,https://www.nasdaq.com/market-activity/stocks/ABBV/news-headlines
2,ABEO,Abeona Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ABEO/news-headlines
3,ABIO,ARCA biopharma Inc.,https://www.nasdaq.com/market-activity/stocks/ABIO/news-headlines
4,ABUS,Arbutus Biopharma Corporation,https://www.nasdaq.com/market-activity/stocks/ABUS/news-headlines
5,ACAD,ACADIA Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ACAD/news-headlines
6,ACER,Acer Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ACER/news-headlines
7,ACET,Adicet Bio Inc.,https://www.nasdaq.com/market-activity/stocks/ACET/news-headlines
8,ACHV,Achieve Life Sciences Inc.,https://www.nasdaq.com/market-activity/stocks/ACHV/news-headlines
9,ACIU,AC Immune SA,https://www.nasdaq.com/market-activity/stocks/ACIU/news-headlines
10,ACOR,Acorda Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ACOR/news-headlines
11,ACRS,Aclaris Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ACRS/news-headlines
12,ACRX,AcelRx Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ACRX/news-headlines
13,ACST,Acasti Pharma Inc.,https://www.nasdaq.com/market-activity/stocks/ACST/news-headlines
14,ADAP,Adaptimmune Therapeutics plc,https://www.nasdaq.com/market-activity/stocks/ADAP/news-headlines
15,ADCT,ADC Therapeutics SA,https://www.nasdaq.com/market-activity/stocks/ADCT/news-headlines
16,ADIL,Adial Pharmaceuticals Inc,https://www.nasdaq.com/market-activity/stocks/ADIL/news-headlines
17,ADMA,ADMA Biologics Inc,https://www.nasdaq.com/market-activity/stocks/ADMA/news-headlines
18,ADMP,Adamis Pharmaceuticals Corporation,https://www.nasdaq.com/market-activity/stocks/ADMP/news-headlines
19,ADMS,Adamas Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ADMS/news-headlines
20,ADTX,ADiTx Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ADTX/news-headlines
21,ADVM,Adverum Biotechnologies Inc.,https://www.nasdaq.com/market-activity/stocks/ADVM/news-headlines
22,ADXS,Advaxis Inc.,https://www.nasdaq.com/market-activity/stocks/ADXS/news-headlines
23,AERI,Aerie Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/AERI/news-headlines
24,AEZS,Aeterna Zentaris Inc.,https://www.nasdaq.com/market-activity/stocks/AEZS/news-headlines
25,AFMD,Affimed N.V.,https://www.nasdaq.com/market-activity/stocks/AFMD/news-headlines
26,AGEN,Agenus Inc.,https://www.nasdaq.com/market-activity/stocks/AGEN/news-headlines
27,AGIO,Agios Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/AGIO/news-headlines
28,AGLE,Aeglea BioTherapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AGLE/news-headlines
29,AGRX,Agile Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AGRX/news-headlines
30,AGTC,Applied Genetic Technologies Corporation,https://www.nasdaq.com/market-activity/stocks/AGTC/news-headlines
31,AIM,AIM ImmunoTech Inc.,https://www.nasdaq.com/market-activity/stocks/AIM/news-headlines
32,AIMT,Aimmune Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AIMT/news-headlines
33,AKBA,Akebia Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AKBA/news-headlines
34,AKCA,Akcea Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AKCA/news-headlines
35,AKER,Akers Biosciences Inc.,https://www.nasdaq.com/market-activity/stocks/AKER/news-headlines
36,AKRO,Akero Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AKRO/news-headlines
37,AKTX,Akari Therapeutics Plc,https://www.nasdaq.com/market-activity/stocks/AKTX/news-headlines
38,AKUS,Akouos Inc.,https://www.nasdaq.com/market-activity/stocks/AKUS/news-headlines
39,ALBO,Albireo Pharma Inc.,https://www.nasdaq.com/market-activity/stocks/ALBO/news-headlines
40,ALDX,Aldeyra Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ALDX/news-headlines
41,ALEC,Alector Inc.,https://www.nasdaq.com/market-activity/stocks/ALEC/news-headlines
42,ALIM,Alimera Sciences Inc.,https://www.nasdaq.com/market-activity/stocks/ALIM/news-headlines
43,ALKS,Alkermes plc,https://www.nasdaq.com/market-activity/stocks/ALKS/news-headlines
44,ALLK,Allakos Inc.,https://www.nasdaq.com/market-activity/stocks/ALLK/news-headlines
45,ALLO,Allogene Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ALLO/news-headlines
46,ALNA,Allena Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ALNA/news-headlines
47,ALNY,Alnylam Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ALNY/news-headlines
48,ALPN,Alpine Immune Sciences Inc.,https://www.nasdaq.com/market-activity/stocks/ALPN/news-headlines
49,ALRN,Aileron Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ALRN/news-headlines
50,ALT,Altimmune Inc.,https://www.nasdaq.com/market-activity/stocks/ALT/news-headlines
51,ALVR,AlloVir Inc.,https://www.nasdaq.com/market-activity/stocks/ALVR/news-headlines
52,ALXN,Alexion Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ALXN/news-headlines
53,ALXO,ALX Oncology Holdings Inc.,https://www.nasdaq.com/market-activity/stocks/ALXO/news-headlines
54,AMAG,AMAG Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/AMAG/news-headlines
55,AMGN,Amgen Inc.,https://www.nasdaq.com/market-activity/stocks/AMGN/news-headlines
56,AMPE,Ampio Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/AMPE/news-headlines
57,AMPH,Amphastar Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/AMPH/news-headlines
58,AMRN,Amarin Corporation plc,https://www.nasdaq.com/market-activity/stocks/AMRN/news-headlines
59,AMRX,Amneal Pharmaceuticals Inc. Class A,https://www.nasdaq.com/market-activity/stocks/AMRX/news-headlines
60,AMTI,Applied Molecular Transport Inc.,https://www.nasdaq.com/market-activity/stocks/AMTI/news-headlines
61,ANAB,AnaptysBio Inc.,https://www.nasdaq.com/market-activity/stocks/ANAB/news-headlines
62,ANCN,Anchiano Therapeutics Ltd.,https://www.nasdaq.com/market-activity/stocks/ANCN/news-headlines
63,ANIK,Anika Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ANIK/news-headlines
64,ANIP,ANI Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ANIP/news-headlines
65,ANIX,Anixa Biosciences Inc.,https://www.nasdaq.com/market-activity/stocks/ANIX/news-headlines
66,ANNX,Annexon Inc.,https://www.nasdaq.com/market-activity/stocks/ANNX/news-headlines
67,ANVS,Annovis Bio Inc.,https://www.nasdaq.com/market-activity/stocks/ANVS/news-headlines
68,APLS,Apellis Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/APLS/news-headlines
69,APLT,Applied Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/APLT/news-headlines
70,APRE,Aprea Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/APRE/news-headlines
71,APTO,Aptose Biosciences Inc.,https://www.nasdaq.com/market-activity/stocks/APTO/news-headlines
72,APTX,Aptinyx Inc.,https://www.nasdaq.com/market-activity/stocks/APTX/news-headlines
73,APVO,Aptevo Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/APVO/news-headlines
74,AQST,Aquestive Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AQST/news-headlines
75,ARAV,Aravive Inc.,https://www.nasdaq.com/market-activity/stocks/ARAV/news-headlines
76,ARCT,Arcturus Therapeutics Holdings Inc.,https://www.nasdaq.com/market-activity/stocks/ARCT/news-headlines
77,ARDS,Aridis Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ARDS/news-headlines
78,ARDX,Ardelyx Inc.,https://www.nasdaq.com/market-activity/stocks/ARDX/news-headlines
79,ARGX,argenx SE,https://www.nasdaq.com/market-activity/stocks/ARGX/news-headlines
80,ARMP,Armata Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ARMP/news-headlines
81,ARNA,Arena Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ARNA/news-headlines
82,ARPO,Aerpio Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ARPO/news-headlines
83,ARQT,Arcutis Biotherapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ARQT/news-headlines
84,ARVN,Arvinas Inc.,https://www.nasdaq.com/market-activity/stocks/ARVN/news-headlines
85,ARWR,Arrowhead Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/ARWR/news-headlines
86,ASLN,ASLAN Pharmaceuticals Limited,https://www.nasdaq.com/market-activity/stocks/ASLN/news-headlines
87,ASMB,Assembly Biosciences Inc.,https://www.nasdaq.com/market-activity/stocks/ASMB/news-headlines
88,ASND,Ascendis Pharma A/S,https://www.nasdaq.com/market-activity/stocks/ASND/news-headlines
89,ASRT,Assertio Holdings Inc.,https://www.nasdaq.com/market-activity/stocks/ASRT/news-headlines
90,ATHA,Athira Pharma Inc.,https://www.nasdaq.com/market-activity/stocks/ATHA/news-headlines
91,ATHE,Alterity Therapeutics Limited,https://www.nasdaq.com/market-activity/stocks/ATHE/news-headlines
92,ATHX,Athersys Inc.,https://www.nasdaq.com/market-activity/stocks/ATHX/news-headlines
93,ATNM,Actinium Pharmaceuticals Inc. (Delaware),https://www.nasdaq.com/market-activity/stocks/ATNM/news-headlines
94,ATNX,Athenex Inc.,https://www.nasdaq.com/market-activity/stocks/ATNX/news-headlines
95,ATOS,Atossa Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ATOS/news-headlines
96,ATRA,Atara Biotherapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ATRA/news-headlines
97,ATRS,Antares Pharma Inc.,https://www.nasdaq.com/market-activity/stocks/ATRS/news-headlines
98,ATXI,Avenue Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/ATXI/news-headlines
99,AUPH,Aurinia Pharmaceuticals Inc,https://www.nasdaq.com/market-activity/stocks/AUPH/news-headlines
100,AUTL,Autolus Therapeutics plc,https://www.nasdaq.com/market-activity/stocks/AUTL/news-headlines
101,AVDL,Avadel Pharmaceuticals plc,https://www.nasdaq.com/market-activity/stocks/AVDL/news-headlines
102,AVEO,AVEO Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/AVEO/news-headlines
103,AVRO,AVROBIO Inc.,https://www.nasdaq.com/market-activity/stocks/AVRO/news-headlines
104,AVXL,Anavex Life Sciences Corp.,https://www.nasdaq.com/market-activity/stocks/AVXL/news-headlines
105,AXGN,Axogen Inc.,https://www.nasdaq.com/market-activity/stocks/AXGN/news-headlines
106,AXGT,Axovant Gene Therapies Ltd.,https://www.nasdaq.com/market-activity/stocks/AXGT/news-headlines
107,AXLA,Axcella Health Inc.,https://www.nasdaq.com/market-activity/stocks/AXLA/news-headlines
108,AXSM,Axsome Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/AXSM/news-headlines
109,AYLA,Ayala Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/AYLA/news-headlines
110,AZN,AstraZeneca PLC,https://www.nasdaq.com/market-activity/stocks/AZN/news-headlines
111,AZRX,AzurRx BioPharma Inc.,https://www.nasdaq.com/market-activity/stocks/AZRX/news-headlines
112,BBI,"Brickell Biotech, Inc.",https://www.nasdaq.com/market-activity/stocks/BBI/news-headlines
113,BBIO,BridgeBio Pharma Inc.,https://www.nasdaq.com/market-activity/stocks/BBIO/news-headlines
114,BCDA,BioCardia Inc.,https://www.nasdaq.com/market-activity/stocks/BCDA/news-headlines
115,BCEL,Atreca Inc.,https://www.nasdaq.com/market-activity/stocks/BCEL/news-headlines
116,BCLI,Brainstorm Cell Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/BCLI/news-headlines
117,BCRX,BioCryst Pharmaceuticals Inc.,https://www.nasdaq.com/market-activity/stocks/BCRX/news-headlines
118,BCYC,Bicycle Therapeutics plc,https://www.nasdaq.com/market-activity/stocks/BCYC/news-headlines
119,BDSI,BioDelivery Sciences International Inc.,https://www.nasdaq.com/market-activity/stocks/BDSI/news-headlines
120,BDTX,Black Diamond Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/BDTX/news-headlines
121,BEAM,Beam Therapeutics Inc.,https://www.nasdaq.com/market-activity/stocks/BEAM/news-headlines
122,BFRA,Biofrontera AG,https://www.nasdaq.com/market-activity/stocks/BFRA/news-headlines
